epoch,lr,train_loss_total,train_loss_rul,train_loss_fault,test_rmse,test_mae,test_nasa_score,test_auprc,test_f1,test_precision,test_recall,epoch_seconds
12,0.0008852566213878945,47.40100201198033,47.29042854309082,0.22114738172718457,14.880544662475586,10.595378875732422,509.5929437016406,0.9905543168586648,0.9615384615384616,0.9259259259259259,1.0,1.6093698999975459
13,0.0008644843137107056,44.89278951372419,44.789498002188544,0.2065828320171152,15.433945655822754,11.09238052368164,603.7133016907254,0.9789705544222708,0.9615384615384616,0.9259259259259259,1.0,1.6087888999973075
14,0.0008422735529643443,42.49423860822405,42.395890835353306,0.19669556431472301,14.730698585510254,10.587106704711914,478.3430911642797,0.9890209835253314,0.9615384615384616,0.9259259259259259,1.0,1.608460000003106
15,0.0008187119948743448,42.17819960457938,42.08002815246582,0.19634309528129443,15.3236722946167,11.1282320022583,398.40255270037375,0.981192776644493,0.9433962264150944,0.8928571428571429,1.0,1.655171699996572
16,0.0007938926261462366,41.25150865827288,41.15273094177246,0.19755551325423376,15.290821075439453,10.868762969970703,596.8572246277081,0.9872028017071497,0.9615384615384616,0.9259259259259259,1.0,1.5790166999940993
17,0.0007679133974894982,38.96626401628767,38.86441693987165,0.20369381308555604,15.07675838470459,11.037797927856445,487.9109300430467,0.9621835473117343,0.9615384615384616,0.9259259259259259,1.0,1.7575489000009838
18,0.0007408768370508576,37.99876926967076,37.90571937561035,0.18609974533319473,16.383159637451172,11.825920104980469,701.6785629946412,0.9781509465791336,0.9615384615384616,0.9259259259259259,1.0,1.6086375000013504
19,0.0007128896457825362,38.53265462602888,38.44836191449846,0.1685853554734162,14.842374801635742,10.89636516571045,385.449867515043,0.9848313731357211,0.9615384615384616,0.9259259259259259,1.0,1.8544836000000942
20,0.0006840622763423389,39.0133389881679,38.926450320652556,0.17377753694142614,14.810964584350586,10.75927448272705,453.2209175798336,0.9729842799124668,0.9615384615384616,0.9259259259259259,1.0,1.660199800004193
21,0.0006545084971874735,37.38638488224574,37.2959050314767,0.1809596280434302,15.270463943481445,11.211058616638184,501.3342729913466,0.9750234103472495,0.9615384615384616,0.9259259259259259,1.0,1.6315118999991682
22,0.0006243449435824271,36.669092423575265,36.57811107635498,0.18196312827723368,15.566349029541016,11.198508262634277,578.6087304079624,0.97446120298939,0.9615384615384616,0.9259259259259259,1.0,1.6094247000000905
23,0.0005936906572928622,36.38346721104213,36.29495917728969,0.17701607729707444,15.26269817352295,11.01231575012207,470.1541601648219,0.9585471836753707,0.9615384615384616,0.9259259259259259,1.0,1.6649425999930827
24,0.000562666616782152,35.256008638654436,35.170334162030905,0.17134892961808612,15.220136642456055,11.1241455078125,469.9680846308448,0.9621835473117343,0.9615384615384616,0.9259259259259259,1.0,1.6412318000002415
25,0.0005313952597646566,35.04686262948172,34.95826315198626,0.1771990489746843,15.998140335083008,11.501473426818848,611.9205013246834,0.970127137055324,0.9615384615384616,0.9259259259259259,1.0,1.8130805000037071
26,0.0004999999999999998,34.990248162405834,34.90664702824184,0.16720269285142422,15.6478853225708,11.249005317687988,593.5896656657368,0.9796278696560566,0.9411764705882353,0.9230769230769231,0.96,1.6825953000006848
27,0.00046860474023534314,34.93452998570034,34.85003250667027,0.16899467493806566,15.345115661621094,11.003887176513672,520.2739387858883,0.97446120298939,0.9615384615384616,0.9259259259259259,1.0,1.6041586999999708
28,0.00043733338321784774,34.46585780552456,34.38075316292899,0.17020939641765187,15.16242504119873,10.930802345275879,433.0018204354168,0.9621835473117343,0.9433962264150944,0.8928571428571429,1.0,1.5950136000028579
29,0.00040630934270713756,33.64948896680559,33.56868035452707,0.16161732428840228,15.40477180480957,11.1375093460083,529.6493353019966,0.9637168806450677,0.9615384615384616,0.9259259259259259,1.0,1.6232846999992034
30,0.00037565505641757246,34.11289236886161,34.03180291312081,0.1621785968542099,15.791913986206055,11.386168479919434,588.5472467299327,0.9716040601322471,0.9411764705882353,0.9230769230769231,0.96,1.7788266999996267
31,0.00034549150281252633,33.403577532087056,33.32259600503104,0.16196297939334597,15.108325958251953,10.939262390136719,449.9475373105716,0.9716040601322471,0.9615384615384616,0.9259259259259259,1.0,1.5788310000061756
