round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,round_seconds,client_1_rmse,client_1_f1,client_2_rmse,client_2_f1,client_3_rmse,client_3_f1,client_4_rmse,client_4_f1
12,0.0008807229791845672,81.3873167877215,81.28220778073796,0.21021804688997597,15.395824909210205,560.3736042075712,0.9668387837836823,0.9279514603044015,5.046465299994452,14.771857261657715,0.9615384615384616,15.083109855651855,0.9411764705882353,15.602806091308594,0.9090909090909091,16.125526428222656,0.9
13,0.0008591746750488638,79.6385909597494,79.53802990875953,0.20112198550527946,15.56879448890686,601.0394627148831,0.9658535488542968,0.9279514603044015,4.710175400003209,15.005459785461426,0.9615384615384616,15.519957542419434,0.9411764705882353,15.685580253601074,0.9090909090909091,16.064180374145508,0.9
14,0.0008361504451306584,78.01279240677144,77.91839345653416,0.18879784518094236,15.332891941070557,585.4567754348342,0.9703193881466396,0.9332368725665579,4.69914019999851,14.537997245788574,0.9615384615384616,15.15316390991211,0.9411764705882353,15.7234525680542,0.9302325581395349,15.916954040527344,0.9
15,0.0008117449009293668,76.27224140779018,76.18037367858705,0.1837353020970165,15.446009397506714,608.918767248011,0.96681666409051,0.9291819291819291,4.5615334000031,14.954471588134766,0.9615384615384616,15.589129447937012,0.9615384615384616,15.496113777160645,0.8888888888888888,15.744322776794434,0.9047619047619048
16,0.0007860583300610849,75.71266091207872,75.62081018034343,0.18370161907725727,15.190532684326172,588.3366034822885,0.9690710350504605,0.946137196137196,5.087138700007927,14.614663124084473,0.9615384615384616,15.081867218017578,0.9615384615384616,15.523249626159668,0.9090909090909091,15.542350769042969,0.9523809523809523
17,0.0007591962841552626,73.25051556676993,73.16379839627632,0.17343406502899203,15.114177942276001,573.2836661366782,0.9705579631550356,0.9355495925263366,5.167817499997909,14.566815376281738,0.9615384615384616,15.109230041503906,0.9615384615384616,15.194391250610352,0.8888888888888888,15.586275100708008,0.9302325581395349
18,0.0007312691451204176,72.0135191809027,71.92663192536529,0.17377466867861585,15.09768271446228,576.2460903537645,0.9708519746990472,0.9355495925263366,4.756231100007426,14.650215148925781,0.9615384615384616,15.057646751403809,0.9615384615384616,15.23363971710205,0.8888888888888888,15.44922924041748,0.9302325581395349
19,0.0007023916715611969,70.75557298954128,70.6704940795089,0.1701574626864159,15.127746343612671,589.0142505519857,0.9699861738332463,0.9410866910866911,4.832766499996069,14.696917533874512,0.9615384615384616,15.1644926071167,0.9615384615384616,15.203855514526367,0.8888888888888888,15.445719718933105,0.9523809523809523
20,0.0006726825272106538,69.88374001148469,69.79941870020582,0.16864274598329382,15.172306776046753,598.4370220412269,0.9732149934312609,0.9450346873772852,4.810555599993677,14.576018333435059,0.9615384615384616,15.191827774047852,0.9615384615384616,15.332847595214844,0.9302325581395349,15.588533401489258,0.926829268292683
21,0.0006422637933155162,68.37753266811006,68.29191864436395,0.17122797216974334,14.917009592056274,540.5064020784399,0.9721047177420379,0.9355495925263366,4.854794899991248,14.72634506225586,0.9615384615384616,14.937322616577148,0.9615384615384616,14.858230590820312,0.8888888888888888,15.146140098571777,0.9302325581395349
22,0.0006112604669781572,67.83697175738789,67.75534140666022,0.163260737282327,14.861718893051147,540.9130172602197,0.972670193932514,0.9410866910866911,4.797233200006303,14.586286544799805,0.9615384615384616,14.640085220336914,0.9615384615384616,14.954614639282227,0.8888888888888888,15.265889167785645,0.9523809523809523
23,0.0005797999475166897,66.68910811878548,66.60579824331266,0.16661969384636,14.897533416748047,550.7329825561286,0.9756794157048937,0.9355495925263366,4.854006399997161,14.62243366241455,0.9615384615384616,14.759540557861328,0.9615384615384616,15.03746223449707,0.8888888888888888,15.170697212219238,0.9302325581395349
24,0.0005480115129538409,65.28989675030644,65.20868956015639,0.1624148753947275,14.827288150787354,521.3010916458338,0.9737349712604493,0.9410866910866911,4.918836900003953,14.755887985229492,0.9615384615384616,14.768226623535156,0.9615384615384616,14.778746604919434,0.8888888888888888,15.006291389465332,0.9523809523809523
25,0.0005160257887858277,64.44580229248906,64.36465013406645,0.16230450726797863,14.915789127349854,534.88859181244,0.973356316289689,0.9410866910866911,5.282024999993155,14.867392539978027,0.9615384615384616,14.892900466918945,0.9615384615384616,14.888497352600098,0.8888888888888888,15.014366149902344,0.9523809523809523
26,0.0004839742112141724,63.46363110964654,63.38322347747118,0.16081527291158193,15.068367958068848,583.6480019324838,0.9735477261869813,0.946137196137196,5.6701119000063045,14.955392837524414,0.9615384615384616,15.051669120788574,0.9615384615384616,15.086441993713379,0.9090909090909091,15.179967880249023,0.9523809523809523
27,0.0004519884870461591,62.50150112703653,62.4221531523983,0.15869604081726377,15.192103385925293,621.7105773843609,0.9770830099176984,0.946137196137196,5.469715500003076,14.934476852416992,0.9615384615384616,15.296456336975098,0.9615384615384616,15.243624687194824,0.9090909090909091,15.293855667114258,0.9523809523809523
28,0.0004202000524833105,61.85132407734304,61.77254152302022,0.15756564794068192,15.042184114456177,588.1667509282075,0.9780126194808221,0.9410866910866911,5.6260167000000365,14.722113609313965,0.9615384615384616,14.851880073547363,0.9615384615384616,15.150960922241211,0.8888888888888888,15.443781852722168,0.9523809523809523
29,0.00038873953302184284,60.61255782009355,60.5332122484418,0.15869115968436423,15.049727439880371,586.7711087628159,0.9760265083697108,0.9307186746519406,5.8278535999997985,14.86116886138916,0.9615384615384616,14.947493553161621,0.9615384615384616,15.153868675231934,0.8695652173913043,15.23637866973877,0.9302325581395349
30,0.0003577362066844838,60.44811943202501,60.36817029532142,0.15989836309160574,14.88278079032898,546.1166194819014,0.9760265083697108,0.9362557732122949,5.50008529999468,14.75733757019043,0.9615384615384616,14.860186576843262,0.9615384615384616,14.878026962280273,0.8695652173913043,15.035572052001953,0.9523809523809523
31,0.0003273174727893463,59.776421325668785,59.69787855618232,0.15708554721685897,15.08190131187439,605.6452635032695,0.9760265083697108,0.9410866910866911,5.513293700001668,14.94485855102539,0.9615384615384616,14.982490539550781,0.9615384615384616,15.091312408447266,0.8888888888888888,15.308943748474121,0.9523809523809523
32,0.0002976083284388031,59.31034380626055,59.231957991159014,0.15677149095305531,14.904167413711548,566.4053487056607,0.9761960990129857,0.9410866910866911,5.616952600001241,14.668045997619629,0.9615384615384616,14.74926471710205,0.9615384615384616,15.026923179626465,0.8888888888888888,15.172435760498047,0.9523809523809523
33,0.0002687308548795825,58.51468749697367,58.436414493717905,0.1565458036102198,15.116080284118652,618.6953703011602,0.9774316689985557,0.9410866910866911,6.393731199990725,14.781505584716797,0.9615384615384616,15.021550178527832,0.9615384615384616,15.347487449645996,0.8888888888888888,15.313777923583984,0.9523809523809523
34,0.00024080371584473748,57.66366097198744,57.58515576661195,0.15701042054420328,14.97685432434082,577.1796345648511,0.9767372245541113,0.9355495925263366,5.5071667000011075,14.834129333496094,0.9615384615384616,14.876214981079102,0.9615384615384616,15.09751033782959,0.8888888888888888,15.099562644958496,0.9302325581395349
35,0.0002139416699389153,57.80610704512054,57.72781719376018,0.15657942842708106,14.871675729751587,561.392196678266,0.9756628781488824,0.9410866910866911,4.915135100003681,14.74565315246582,0.9615384615384616,14.655077934265137,0.9615384615384616,14.9669189453125,0.8888888888888888,15.11905288696289,0.9523809523809523
36,0.00018825509907063325,56.76969845061614,56.689312066026865,0.16077266501845958,14.944077253341675,576.7554658464873,0.9751114075606471,0.9307186746519406,5.745340599998599,14.740689277648926,0.9615384615384616,14.836587905883789,0.9615384615384616,15.022738456726074,0.8695652173913043,15.17629337310791,0.9302325581395349
