round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_mae,global_test_nasa_score,global_test_auprc,global_test_f1,global_test_precision,global_test_recall,round_seconds
25,0.0005160257887858277,56.012805753284034,55.92012932565477,0.18535253811731106,15.158538818359375,11.038288116455078,441.2815764065288,0.9779384946945588,0.9411764705882353,0.9230769230769231,0.96,3.1855231000008644
26,0.0004839742112141724,55.90876166025798,55.816972202724884,0.1835790697692169,14.798369407653809,10.737680435180664,401.2633785238109,0.9779384946945588,0.9411764705882353,0.9230769230769231,0.96,2.9676949999993667
27,0.0004519884870461591,54.35089996125963,54.25788664817809,0.18602669642617306,14.945658683776855,10.867984771728516,415.5291202392588,0.9800437578524536,0.9411764705882353,0.9230769230769231,0.96,3.1222134999989066
28,0.0004202000524833105,53.24054511388143,53.151035388310746,0.1790197716715435,15.071170806884766,10.919805526733398,427.02291621048147,0.973363331295866,0.9615384615384616,0.9259259259259259,1.0,3.023265999996511
29,0.00038873953302184284,51.775743325551346,51.688014321857025,0.1754579212413066,14.838991165161133,10.753573417663574,386.5627903559164,0.9757162724723366,0.9615384615384616,0.9259259259259259,1.0,3.145433799996681
30,0.0003577362066844838,51.60430494944255,51.516860246658325,0.1748896287754178,14.972822189331055,10.908195495605469,418.8689212278213,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.1264618999994127
31,0.0003273174727893463,50.453796492682564,50.3674469391505,0.17269901450102526,14.943891525268555,10.837380409240723,406.909276810198,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.084598500005086
32,0.0002976083284388031,49.6663593451182,49.58182215690612,0.16907443282090956,14.949165344238281,10.855633735656738,405.9372095567251,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,2.946200999998837
33,0.0002687308548795825,49.36735475063324,49.2815732691023,0.17156337248161435,15.181591033935547,11.106727600097656,441.2360637098115,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,2.982519899996987
34,0.00024080371584473748,49.03422421879239,48.94831789864434,0.1718123336840007,15.105193138122559,10.985063552856445,429.10661332033123,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,2.9619344000020646
35,0.0002139416699389153,47.40143993165758,47.319047159618805,0.16478541710724434,15.247464179992676,11.038200378417969,448.3500270413331,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.3553080999990925
36,0.00018825509907063325,48.35920683542887,48.27821214993794,0.16198968915786183,15.148677825927734,11.006658554077148,429.2170918394179,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.1623246999952244
37,0.00016384955486934162,47.99808351198832,47.915961265563965,0.16424420496655834,15.056967735290527,10.939383506774902,415.94932974237435,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,2.9706758000029367
38,0.00014082532495113625,47.38000069724188,47.298628171284996,0.16274564708065656,15.0120849609375,10.905112266540527,409.65674009545756,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.1297995999993873
39,0.0001192770208154328,47.55610418319702,47.47663760185242,0.15893329064258271,15.141814231872559,10.975341796875,424.7118065832431,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.0812765000009676
40,9.929318906602175e-05,46.7796790599823,46.69963280359904,0.16009232469110027,15.145672798156738,10.975947380065918,429.8188190023778,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.0016845999998623
41,8.09559475540797e-05,46.620038774278434,46.537563165028885,0.16495101986866859,15.044273376464844,10.948990821838379,412.1533665365719,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.90023310000106
42,6.43406479383053e-05,46.944232596291435,46.86222434043884,0.16401687779256865,15.229340553283691,11.034741401672363,440.4997201519207,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.4629454000023543
43,4.9515566048790485e-05,47.01932308408949,46.93828172153897,0.16208293081985578,15.114607810974121,10.980149269104004,419.83547873914443,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.00528900000063
44,3.654162132698918e-05,47.458972480562,47.37859296798706,0.16075929254293442,15.151236534118652,10.992530822753906,427.12803649431106,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.196970799996052
45,2.547212649466568e-05,46.93403996361627,46.85220058759054,0.16367878661387497,15.217248916625977,11.038729667663574,437.3722659787521,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.0985120000041206
46,1.6352568480485276e-05,47.169266488817,47.08540680673387,0.16771951959364945,15.159915924072266,11.026644706726074,427.5880320871536,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.1799316000033286
47,9.22042150446728e-06,47.70759609010484,47.626499652862556,0.16219264739710423,15.127396583557129,11.013270378112793,422.1956400155954,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.0235035000005155
48,4.104993088376974e-06,48.51583621237013,48.43245206938849,0.16676862059264547,15.102343559265137,11.003083229064941,417.9582850471876,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,2.9779527000064263
49,1.0273036248318324e-06,49.09070065286424,49.007272720336914,0.1668562038232469,15.093647956848145,11.000055313110352,416.45315880381054,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.00334070000099
50,0.0,49.29101623429193,49.20657563209534,0.16888140250618258,15.093647956848145,11.000055313110352,416.45315880381054,0.973363331295866,0.9411764705882353,0.9230769230769231,0.96,3.0727891999995336
