round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,round_seconds
26,0.0004839742112141724,114.54662618542035,114.41997785378136,0.25329713422458533,19.72665500640869,1372.33262757375,0.957389001875654,0.8922981317838012,5.026813400007086
27,0.0004519884870461591,114.83229382362873,114.70751241750496,0.24956337638521114,19.14599847793579,1208.674431667832,0.9592327475878031,0.9046869409660108,5.488162599998759
28,0.0004202000524833105,111.99318715028986,111.87375932991306,0.23885597915286538,19.605102062225342,1464.1557604887994,0.9600335898097136,0.8882877053260329,5.038130900007673
29,0.00038873953302184284,111.7889803918097,111.66731697602128,0.24332669625659026,19.58723735809326,1317.9152743176066,0.9556193703555933,0.8939726552517251,5.131792100000894
30,0.0003577362066844838,113.24855335717186,113.12578606558004,0.2455348929325335,19.72829294204712,1580.671740048056,0.9577663523940229,0.8939726552517251,5.1977704000019
31,0.0003273174727893463,111.02185429069291,110.89947041799856,0.2447678870072842,19.388103246688843,1332.085753503544,0.9601784565170802,0.8770767922553636,5.404420000006212
32,0.0002976083284388031,111.92753813274675,111.80464739165828,0.2457812445436255,19.37612009048462,1261.0191212718173,0.9569394761756991,0.883061224489796,5.572629700007383
33,0.0002687308548795825,112.32707488291287,112.20289958529298,0.2483503465271521,19.568932056427002,1379.4986039835615,0.9559319230057526,0.8766193987521271,5.533799600001657
34,0.00024080371584473748,112.7173610490818,112.59360950507991,0.24750319153404612,19.849876880645752,1548.1832939271778,0.9582581996297181,0.8791601255886969,5.19200290000299
35,0.0002139416699389153,112.7863902530797,112.66276790374934,0.24724408405897924,19.665963649749756,1459.2203990154533,0.9560227503596327,0.8740696278511404,5.157611899980111
36,0.00018825509907063325,112.58068714078479,112.45836761322528,0.24463865880504793,20.06425666809082,1673.1021630574005,0.9563176998273761,0.8795798319327732,5.3343157999916
37,0.00016384955486934162,114.09072704109242,113.96854504033973,0.24436398071741247,20.667972087860107,2391.0275778630075,0.9561651118094652,0.8843572706363405,5.491653699980816
38,0.00014082532495113625,113.68374847462803,113.56962911631182,0.2282384094989478,20.024704933166504,2309.112117964467,0.935057364987667,0.8457941437444543,5.9647609000094235
39,0.0001192770208154328,109.34712952062537,109.21644079233721,0.2613773153209904,19.797741889953613,2060.783350073271,0.9611892316160506,0.9210633484162897,5.166124400013359
40,9.929318906602175e-05,107.95757731805212,107.84848256222037,0.21818914576882245,19.414989471435547,1966.0660200514922,0.9431586229405631,0.8580705009276438,5.280268100003013
41,8.09559475540797e-05,105.65423905334599,105.53259301454918,0.24329210657725403,19.892948627471924,2196.0699158399148,0.9630890287794348,0.8948794982229633,5.187251900002593
42,6.43406479383053e-05,103.53533333908285,103.42383154555412,0.22300364027152525,18.717568159103394,1513.024211377251,0.9536750821784865,0.8777941125400813,5.2741695000149775
43,4.9515566048790485e-05,102.67403879133965,102.55613802136773,0.23580153668268378,19.571996212005615,1862.6778050337584,0.9660508020852484,0.8948794982229633,5.3790343000146095
44,3.654162132698918e-05,101.79711740088226,101.68418049986576,0.22587351663304228,18.340659856796265,1345.980456399993,0.9619850765897608,0.8838415632328319,5.611890300002415
45,2.547212649466568e-05,99.98847079578033,99.87668296950204,0.2235756780197256,18.195233821868896,1227.044881475229,0.9612789368018123,0.8838415632328319,5.447982699988643
46,1.6352568480485276e-05,102.22562374862721,102.110474776588,0.2302974777389008,18.403215885162354,1348.9440361828179,0.9630130054292632,0.8833043166217139,5.326901199994609
47,9.22042150446728e-06,102.07434736264504,101.96075117342495,0.22719195995083777,18.321903944015503,1294.3140864935976,0.9630130054292632,0.8785474455857731,5.116009199991822
48,4.104993088376974e-06,103.42907757743251,103.31503463155804,0.2280857545073048,18.408467769622803,1341.0070529815646,0.9640546720959298,0.8785474455857731,5.39949459998752
49,1.0273036248318324e-06,103.72291417010995,103.60979703066752,0.22623397964253972,18.388431549072266,1328.524109667479,0.9640546720959298,0.8785474455857731,5.3114292999962345
50,0.0,103.97387577338868,103.85936162733161,0.22902800861523298,18.388431549072266,1328.524109667479,0.9640546720959298,0.8785474455857731,4.985916500008898
