round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,round_seconds
15,0.0008117449009293668,109.30679229004716,109.13445164384036,0.3446807476975658,19.075983842213947,1091.2554764939848,0.9154698388044692,0.8463844348901786,5.2631682000355795
16,0.0007860583300610849,106.8362782697409,106.68087183563007,0.31081277089030696,19.43030881881714,1109.6581184069316,0.919282235381904,0.8352220537270348,5.976511300017592
17,0.0007591962841552626,108.81511129506559,108.64378002036068,0.3426624081720586,18.48120180765788,898.3141873366399,0.9194593949882229,0.8323230092920747,5.1020988000091165
18,0.0007312691451204176,106.44144545351459,106.28929385463051,0.3043030592797531,18.91048765182495,940.4209876474371,0.9206197692352273,0.8424771618048928,5.885593099985272
19,0.0007023916715611969,107.21308353661284,107.051455182168,0.3232562336347782,19.031225840250652,1022.9101029781203,0.9201785071323035,0.8180157408728838,5.319482300023083
20,0.0006726825272106538,107.76724371629074,107.61530467290841,0.3038779751287141,18.778107325236004,937.1844647801689,0.9244732618944494,0.8231186406186405,8.057629999995697
21,0.0006422637933155162,105.74522773911765,105.59198746122347,0.30648056817299657,18.578508694966633,905.363803726122,0.9244970055118208,0.8292876228059357,5.944321600021794
22,0.0006112604669781572,105.8597173597286,105.71054303652443,0.2983488102928969,18.24423885345459,800.2387429934712,0.9248032255875334,0.8324725819416473,5.795274099975359
23,0.0005797999475166897,105.87529391540185,105.73002951102733,0.29052853534281026,19.060040791829426,1032.0163641021904,0.9261390607983152,0.8320965826626203,5.66383550001774
24,0.0005480115129538409,107.53536065138604,107.39119737068908,0.28832735335435505,18.977810541788738,974.1999754190803,0.9234702272292027,0.8292046358900937,5.293868300039321
25,0.0005160257887858277,106.82586501539669,106.67241802854333,0.30689367884115887,18.75737126668294,969.8035923563037,0.9264475129138324,0.8187659399424105,5.903797700011637
26,0.0004839742112141724,105.34983777930091,105.2059378579616,0.2877997006937925,18.899753252665203,1007.1048240438782,0.9253514059931413,0.8211188811188811,5.651264099986292
27,0.0004519884870461591,105.9686421284668,105.82548949885002,0.28630512870483,19.14145628611247,1003.0510024899431,0.9154494324017398,0.8349215615334841,9.399709800025448
28,0.0004202000524833105,108.70148318852121,108.54843603467525,0.30609405224844893,18.36432949701945,871.1787671826078,0.9354108456812726,0.8345004583344963,6.791120800015051
29,0.00038873953302184284,103.26552176709116,103.12455758800574,0.2819284647121097,19.016810099283855,1059.599960863419,0.9377153778533612,0.8569736987118096,5.412295099988114
30,0.0003577362066844838,101.08400037387446,100.94766417483477,0.27267167989666213,18.878384113311768,1025.8695489405352,0.9395490004229495,0.8636939554238068,5.441475500003435
31,0.0003273174727893463,99.92579936726618,99.78938867203249,0.27282186302060035,18.333762645721436,959.4375182626854,0.9341553239268675,0.860732959850607,5.575825000007171
32,0.0002976083284388031,99.81140292459627,99.6824023613525,0.2580017705273558,19.38706874847412,1241.501916038139,0.9350092850963255,0.8566340302260201,5.576832099992316
33,0.0002687308548795825,99.12663311769148,98.9944643081941,0.26433796147957267,18.69295660654704,1030.4552488370125,0.9396288653147525,0.8770511696050779,5.555010600015521
34,0.00024080371584473748,98.31105697518292,98.18407958112846,0.25395489693576984,18.936730702718098,1075.7719075915127,0.9363384984636118,0.8688639791580969,5.847534000000451
35,0.0002139416699389153,99.45161733663463,99.31950104435356,0.26423217204462973,18.411992867787678,896.4770165276728,0.9379142457421619,0.8845476974857029,6.133009899989702
36,0.00018825509907063325,99.68101975375798,99.5531364957086,0.2557667579501856,19.19205888112386,1167.7917293084283,0.9355085904138617,0.865675459211711,7.485714399954304
37,0.00016384955486934162,100.25196157908589,100.12427046809792,0.2553826362314989,18.65616528193156,996.173533823448,0.9378503969366463,0.8727532949231063,7.227206600015052
38,0.00014082532495113625,100.08979680036161,99.9625000397557,0.254592874095197,18.700673580169678,1016.0534127402667,0.9381925702956359,0.8702780684923542,5.050167899986263
39,0.0001192770208154328,99.81465874729275,99.68782866642665,0.25366034674639637,18.198411464691162,878.1584228731302,0.9313153831706078,0.8792498805542284,4.95404189999681
40,9.929318906602175e-05,100.09765946215886,99.97082718389231,0.2536640608461928,18.826351642608643,1070.2340713914307,0.937923713660802,0.8618152109328582,5.150423999992199
