round,lr,mean_client_loss_total,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,head_similarity_max,head_similarity_min,n_clusters,clusters_str,round_seconds,client_1_rmse,client_1_f1,client_2_rmse,client_2_f1,client_3_rmse,client_3_f1,client_4_rmse,client_4_f1
35,0.0002139416699389153,62.34177668150082,15.583471536636353,694.5273300786507,0.9666414107102325,0.9264719020816582,0.9999909400939941,0.9991565942764282,1,client_1+client_2+client_3+client_4,3.780293999996502,15.120786666870117,0.9615384615384616,15.215100288391113,0.9615384615384616,15.994468688964844,0.9047619047619048,16.003530502319336,0.8780487804878049
36,0.00018825509907063325,61.40115156775693,15.608677864074707,721.6949419388936,0.9681456922474087,0.9278899395178466,0.9999901652336121,0.9991698861122131,1,client_1+client_2+client_3+client_4,4.075499399987166,15.265796661376953,0.9615384615384616,15.313547134399414,0.9615384615384616,15.928193092346191,0.9047619047619048,15.92717456817627,0.8837209302325582
37,0.00016384955486934162,61.91532174297346,15.487540483474731,685.146064346248,0.9672961726149942,0.9331501831501832,0.9999905824661255,0.9994686245918274,1,client_1+client_2+client_3+client_4,3.8895524999970803,15.160924911499023,0.9615384615384616,15.305487632751465,0.9615384615384616,15.754101753234863,0.9047619047619048,15.729647636413574,0.9047619047619048
38,0.00014082532495113625,61.281202676209105,15.503572463989258,694.3274454690976,0.9667394499259185,0.9331501831501832,0.9999943971633911,0.9995943903923035,1,client_1+client_2+client_3+client_4,3.8806195999932243,15.082733154296875,0.9615384615384616,15.16060733795166,0.9615384615384616,15.88188362121582,0.9047619047619048,15.889065742492676,0.9047619047619048
39,0.0001192770208154328,61.08581368741007,15.557527303695679,713.4440878239625,0.9658332214925163,0.9331501831501832,0.9999968409538269,0.9995821714401245,1,client_1+client_2+client_3+client_4,4.023382899991702,15.323844909667969,0.9615384615384616,15.422131538391113,0.9615384615384616,15.738741874694824,0.9047619047619048,15.745390892028809,0.9047619047619048
40,9.929318906602175e-05,60.98321255275182,15.523902654647827,703.389019465391,0.9670580773768991,0.9331501831501832,0.9999967813491821,0.9997727274894714,1,client_1+client_2+client_3+client_4,3.9848011000140104,15.170175552368164,0.9615384615384616,15.290331840515137,0.9615384615384616,15.812271118164062,0.9047619047619048,15.822832107543945,0.9047619047619048
41,8.09559475540797e-05,60.409948428207855,15.51399040222168,701.9522490471244,0.9675123257429121,0.9278899395178466,0.9999979734420776,0.9998345971107483,1,client_1+client_2+client_3+client_4,3.9190685999928974,15.102184295654297,0.9615384615384616,15.220551490783691,0.9615384615384616,15.864895820617676,0.9047619047619048,15.868330001831055,0.8837209302325582
42,6.43406479383053e-05,60.527282619793155,15.473628044128418,699.1924822053271,0.9675809531938925,0.9278899395178466,0.9999984502792358,0.9998908042907715,1,client_1+client_2+client_3+client_4,3.656046600008267,15.125401496887207,0.9615384615384616,15.25808048248291,0.9615384615384616,15.75238037109375,0.9047619047619048,15.758649826049805,0.8837209302325582
43,4.9515566048790485e-05,60.79716094672878,15.509867191314697,709.6590532050405,0.9682476198605592,0.9278899395178466,0.9999993443489075,0.9999394416809082,1,client_1+client_2+client_3+client_4,3.880533799994737,15.149077415466309,0.9615384615384616,15.273771286010742,0.9615384615384616,15.813333511352539,0.9047619047619048,15.8032865524292,0.8837209302325582
44,3.654162132698918e-05,60.23873583391259,15.50719952583313,710.3953557376082,0.9687704956775527,0.9278899395178466,0.9999997019767761,0.9999719262123108,1,client_1+client_2+client_3+client_4,3.800419899998815,15.108949661254883,0.9615384615384616,15.198047637939453,0.9615384615384616,15.863960266113281,0.9047619047619048,15.857840538024902,0.8837209302325582
45,2.547212649466568e-05,60.36107577358766,15.440940856933594,691.1411727898474,0.9692675717009445,0.9278899395178466,0.9999996423721313,0.9999823570251465,1,client_1+client_2+client_3+client_4,4.094716299994616,15.031394004821777,0.9615384615384616,15.148850440979004,0.9615384615384616,15.798090934753418,0.9047619047619048,15.785428047180176,0.8837209302325582
46,1.6352568480485276e-05,60.54597245846871,15.376438617706299,673.2645591139192,0.9692675717009445,0.9278899395178466,0.9999998807907104,0.9999935030937195,1,client_1+client_2+client_3+client_4,3.887352899997495,14.976937294006348,0.9615384615384616,15.116848945617676,0.9615384615384616,15.716191291809082,0.9047619047619048,15.69577693939209,0.8837209302325582
47,9.22042150446728e-06,60.521859435148016,15.36665678024292,672.5480273753003,0.9691871623442192,0.9278899395178466,1.0,0.9999980926513672,1,client_1+client_2+client_3+client_4,3.7994986999983666,14.992795944213867,0.9615384615384616,15.140684127807617,0.9615384615384616,15.679585456848145,0.9047619047619048,15.65356159210205,0.8837209302325582
48,4.104993088376974e-06,60.97069774006688,15.381410360336304,679.9944255575501,0.9698121623442193,0.9278899395178466,1.0,0.9999995231628418,1,client_1+client_2+client_3+client_4,3.953057299993816,15.026798248291016,0.9615384615384616,15.16336727142334,0.9615384615384616,15.679229736328125,0.9047619047619048,15.656246185302734,0.8837209302325582
49,1.0273036248318324e-06,60.926957982085476,15.374616384506226,678.2793737917286,0.9702650608949439,0.9278899395178466,1.0000001192092896,0.9999999403953552,1,client_1+client_2+client_3+client_4,3.9084574000007706,15.022334098815918,0.9615384615384616,15.16185474395752,0.9615384615384616,15.668861389160156,0.9047619047619048,15.645415306091309,0.8837209302325582
50,0.0,60.71310133918179,15.374616384506226,678.2793737917286,0.9702650608949439,0.9278899395178466,0.9999999403953552,0.9999999403953552,1,client_1+client_2+client_3+client_4,3.819367100004456,15.022334098815918,0.9615384615384616,15.16185474395752,0.9615384615384616,15.668861389160156,0.9047619047619048,15.645415306091309,0.8837209302325582
