round,lr,mean_client_loss_total,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,head_similarity_max,head_similarity_min,n_clusters,clusters_str,round_seconds,client_1_rmse,client_1_f1,client_2_rmse,client_2_f1,client_3_rmse,client_3_f1,client_4_rmse,client_4_f1
12,0.0008807229791845672,83.36774836240615,16.24017024040222,733.4706969166141,0.9605096482401716,0.913331041682581,0.9998219013214111,0.9939484000205994,1,client_1+client_2+client_3+client_4,4.210497500003839,15.678109169006348,0.9433962264150944,15.537347793579102,0.9433962264150944,16.78265953063965,0.8947368421052632,16.96256446838379,0.8717948717948718
13,0.0008591746750488638,81.66032194743032,16.2464382648468,737.5313285599113,0.9645875323126208,0.8966981132075472,0.9998981356620789,0.9948954582214355,1,client_1+client_2+client_3+client_4,3.873367899999721,15.742059707641602,0.9433962264150944,15.705613136291504,0.9433962264150944,16.627321243286133,0.85,16.91075897216797,0.85
14,0.0008361504451306584,79.53801301880067,16.20280170440674,705.6426381359738,0.9645104827174791,0.8871476112559867,0.9998863935470581,0.9954977631568909,1,client_1+client_2+client_3+client_4,4.114859200002684,15.949394226074219,0.9259259259259259,15.84013557434082,0.9433962264150944,16.428621292114258,0.8292682926829268,16.593055725097656,0.85
15,0.0008117449009293668,78.55325804177397,16.13101887702942,697.5593198083476,0.9645104827174791,0.8915151863782789,0.9997166395187378,0.9948142170906067,1,client_1+client_2+client_3+client_4,4.054764000000432,15.817344665527344,0.9433962264150944,15.753321647644043,0.9433962264150944,16.3533935546875,0.8292682926829268,16.60001564025879,0.85
16,0.0007860583300610849,76.88771242478123,15.843174934387207,625.876320344317,0.9657726290361102,0.8915151863782789,0.9998146295547485,0.9960574507713318,1,client_1+client_2+client_3+client_4,3.7687231000018073,15.49971866607666,0.9433962264150944,15.306487083435059,0.9433962264150944,16.278743743896484,0.8292682926829268,16.287750244140625,0.85
17,0.0007591962841552626,75.609014533421,15.9774329662323,667.0861555011184,0.9654675885416515,0.8915151863782789,0.9998284578323364,0.9947705268859863,1,client_1+client_2+client_3+client_4,3.86549300000479,15.762882232666016,0.9433962264150944,15.638266563415527,0.9433962264150944,16.163509368896484,0.8292682926829268,16.345073699951172,0.85
18,0.0007312691451204176,74.70758865362541,15.877856492996216,641.6993073776446,0.9707660737251986,0.89852738150023,0.9998424053192139,0.9961679577827454,1,client_1+client_2+client_3+client_4,3.8578320000015083,15.5419921875,0.9433962264150944,15.479622840881348,0.9433962264150944,16.223194122314453,0.8292682926829268,16.266616821289062,0.8780487804878049
19,0.0007023916715611969,73.70554425664929,15.774703025817871,626.7898675941824,0.9692761101386961,0.912140540887638,0.9998401999473572,0.9964520931243896,1,client_1+client_2+client_3+client_4,3.7277428999950644,15.505271911621094,0.9433962264150944,15.424213409423828,0.9433962264150944,16.056331634521484,0.8837209302325582,16.112995147705078,0.8780487804878049
20,0.0006726825272106538,72.47455080298583,15.9003324508667,648.4771127331649,0.9692761101386961,0.9054960226152127,0.9998987913131714,0.9972147941589355,1,client_1+client_2+client_3+client_4,4.081735299994762,15.675926208496094,0.9433962264150944,15.600458145141602,0.9433962264150944,16.10078239440918,0.8571428571428571,16.224163055419922,0.8780487804878049
21,0.0006422637933155162,71.26718881645854,15.830816507339478,636.076988641588,0.969381570801222,0.9071193992385893,0.9998506903648376,0.9973652362823486,1,client_1+client_2+client_3+client_4,3.763747199998761,15.523422241210938,0.9433962264150944,15.437298774719238,0.9433962264150944,16.12045669555664,0.8636363636363636,16.242088317871094,0.8780487804878049
